title,author,length
Trials of Cydaria,By: SunriseCV,Length: 13 hrs and 16 mins
Mark of the Fool 4,By: J.M. Clarke,Length: 19 hrs and 45 mins
The House of Love and Death,By: Andrew Klavan,Length: 10 hrs and 25 mins
The Proof of the Pudding,By: Rhys Bowen,Length: Not Yet Known
Dear Jacob,"By: Patty Wetterling, Joy Baker - contributor",Length: 13 hrs and 28 mins
Exploring Home,By: A. American,Length: 11 hrs and 59 mins
Crystal World,By: B.V. Larson,Length: 14 hrs and 26 mins
Emperor of Rome,By: Mary Beard,Length: 14 hrs and 43 mins
The Woman in Me,By: Britney Spears,Length: 5 hrs
With This Woman,By: Jodi Ellen Malpas,Length: 23 hrs and 53 mins
Somewhere Beyond the Sea,By: TJ Klune,Length: 12 hrs
Great Awakening,"By: Alex Jones, Kent Heckenlively - contributor",Length: 12 hrs and 48 mins
Only in Death,By: Dan Abnett,Length: 11 hrs and 28 mins
Burden of Time,By: Mark Tufo,Length: 11 hrs and 43 mins
The Titan of Baleros,By: pirateaba,Length: 41 hrs and 16 mins
Genefather,By: Guy Haley,Length: 10 hrs and 14 mins
How to Know a Person,By: David Brooks,Length: 7 hrs and 27 mins
Outbound Flight,By: Timothy Zahn,Length: 14 hrs
Mistletoe and Mishigas,By: M.A. Wardell,Length: 8 hrs and 58 mins
A Touch of Chaos,By: Scarlett St. Clair,Length: 12 hrs
